Merk,Title,Nummer,Category,Type,Beschrijving,Afbeelding
Ricoh,Theta V (1),1,Video,enkel_product,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (2),2,Video,enkel_product,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (3),3,Video,enkel_product,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (4),4,Video,enkel_product,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vastleggen met één druk op de knop.,RicohThetaV.jpg
AKG,K 271 MK II,1,Audio,enkel_product,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,2,Audio,enkel_product,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,3,Audio,enkel_product,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,4,Audio,enkel_product,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
ADJ,Mega Tripar Profile Plus,1,Belichting,enkel_product,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant.De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,2,Belichting,enkel_product,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant. De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
